department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Pr - Park Operations,Parks Operations And Maintenance Case,Close,Further Action Has Been Planned,Grandview-Woodland,Mobile App,2022-11-09 13:32:00-08:00,2024-11-29,2022,11,Nov,Wednesday,750.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-09 13:33:00-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Issue Not Found Or Inaccessible,Riley Park,Mobile App,2022-11-09 13:59:23-08:00,2022-11-22,2022,11,Nov,Wednesday,12.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Phone,2022-11-09 14:04:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Marpole,Phone,2022-11-09 14:09:10-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-11-09 14:11:09-08:00,2022-11-15,2022,11,Nov,Wednesday,5.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-09 14:17:37-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Waterworks Operations,Water Meter Reading Request Case,Close,Service Provided,Killarney,Web,2022-11-09 14:22:06-08:00,2022-11-25,2022,11,Nov,Wednesday,15.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-11-09 14:25:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-09 14:35:21-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Kerrisdale,Phone,2022-11-09 14:38:00-08:00,2022-11-22,2022,11,Nov,Wednesday,12.0,True
Eng - Streets Operations,Pothole Case,Close,Service Provided,Sunset,Web,2022-11-09 14:41:13-08:00,2022-11-28,2022,11,Nov,Wednesday,18.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-11-09 14:49:00-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-09 14:55:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Streets Operations,Pothole Case,Close,Issue Not Found Or Inaccessible,Sunset,Mobile App,2022-11-09 15:00:28-08:00,2022-12-12,2022,11,Nov,Wednesday,32.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-09 15:01:00-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-11-09 15:03:00-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,West End,Web,2022-11-09 15:03:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,Hastings-Sunrise,Web,2022-12-06 14:16:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:20:10-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Eng - Kent Construction Supplies And Services,Sidewalk Snow And Ice Removal Bylaw Violation Case,Close,Service Provided,Grandview-Woodland,Web,2022-12-06 14:20:00-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:24:48-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Marpole,Mobile App,2022-12-06 14:25:18-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 14:28:50-08:00,2022-12-18,2022,12,Dec,Tuesday,11.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - City Property Case,Close,Dispatched To Crew,Kitsilano,Mobile App,2022-12-06 14:35:00-08:00,2023-01-04,2022,12,Dec,Tuesday,28.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:38:51-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:42:08-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:43:06-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kerrisdale,Web,2022-12-06 14:44:00-08:00,2023-01-16,2022,12,Dec,Tuesday,40.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Marpole,Phone,2022-12-06 14:45:45-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:45:49-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:47:11-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-12-06 14:47:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Eng - Streets Operations,Vegetation Encroachment Of City Property Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,E-Mail,2022-12-06 14:49:00-08:00,2022-12-12,2022,12,Dec,Tuesday,5.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-12-06 14:49:00-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Eng - Streets Operations,Snow And Ice Removal From City Property Case,Close,Service Provided,Fairview,Phone,2022-12-06 14:50:00-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 14:51:40-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-12-06 14:54:00-08:00,2022-12-19,2022,12,Dec,Tuesday,12.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-12-06 14:57:52-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Fairview,Web,2022-12-06 15:04:00-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:13:04-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:18:08-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
311 Contact Centre,City Services Feedback Case,Close,Reviewed And No Action Planned,Hastings-Sunrise,Phone,2022-12-06 15:19:40-08:00,2022-12-06,2022,12,Dec,Tuesday,-1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:24:09-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Downtown,Phone,2022-12-06 15:38:00-08:00,2022-12-19,2022,12,Dec,Tuesday,12.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,West Point Grey,Phone,2022-12-06 15:39:37-08:00,2022-12-06,2022,12,Dec,Tuesday,-1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:39:40-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-12-06 15:41:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Eng - Transfer And Landfill Operations,Disposal Facility - Transfer Station Inquiry Case,Close,Service Provided,,Phone,2022-12-06 15:41:55-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:42:02-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Mount Pleasant,Web,2022-12-06 15:44:09-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,South Cambie,Web,2022-12-06 15:44:55-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Sunset,Phone,2022-12-06 15:46:58-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:47:08-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 15:53:18-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Animal Services,Animal Concern Case,Close,Not A City Provided Service / Jurisdiction,Dunbar-Southlands,Phone,2022-12-06 15:54:18-08:00,2022-12-06,2022,12,Dec,Tuesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-12-06 15:58:23-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-12-06 16:00:00-08:00,2022-12-22,2022,12,Dec,Tuesday,15.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Victoria-Fraserview,Web,2022-12-06 16:05:00-08:00,2022-12-19,2022,12,Dec,Tuesday,12.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,Fairview,Web,2022-12-06 16:05:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-12-06 16:06:00-08:00,2022-12-14,2022,12,Dec,Tuesday,7.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kitsilano,Web,2022-12-06 16:17:00-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-12-06 16:27:00-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-12-06 16:33:00-08:00,2023-01-31,2022,12,Dec,Tuesday,55.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Marpole,Web,2022-12-06 16:40:37-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Sunset,Web,2022-12-06 16:41:00-08:00,2022-12-19,2022,12,Dec,Tuesday,12.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-12-06 17:00:04-08:00,2022-12-15,2022,12,Dec,Tuesday,8.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 17:03:41-08:00,2023-01-03,2022,12,Dec,Tuesday,27.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-12-06 17:08:38-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 17:10:53-08:00,2022-12-15,2022,12,Dec,Tuesday,8.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Oakridge,Web,2022-12-06 17:12:06-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
311 Contact Centre,City Services Feedback Case,Close,Further Action Has Been Planned,,Phone,2022-12-06 17:16:27-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Fairview,Web,2022-12-06 17:18:32-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-12-06 17:18:00-08:00,2022-12-06,2022,12,Dec,Tuesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 17:37:40-08:00,2022-12-15,2022,12,Dec,Tuesday,8.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Referred To Another Service Group,Kensington-Cedar Cottage,Web,2022-12-06 17:44:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 17:57:58-08:00,2022-12-15,2022,12,Dec,Tuesday,8.0,True
311 Contact Centre,General Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-12-06 18:11:31-08:00,2022-12-14,2022,12,Dec,Tuesday,7.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-12-06 18:13:57-08:00,2022-12-15,2022,12,Dec,Tuesday,8.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Marpole,Web,2022-12-06 18:14:04-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Web,2022-12-06 18:43:18-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Mount Pleasant,Web,2022-12-06 18:59:00-08:00,2022-12-09,2022,12,Dec,Tuesday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-12-06 19:01:00-08:00,2022-12-08,2022,12,Dec,Tuesday,1.0,True
Eng - Transportation Design,Zz Old - Traffic Calming Case,Close,Reviewed And No Action Planned,Mount Pleasant,Web,2022-12-06 19:06:12-08:00,2023-01-05,2022,12,Dec,Tuesday,29.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-06 19:07:49-08:00,2022-12-13,2022,12,Dec,Tuesday,6.0,True
311 Contact Centre,Van311 Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-12-06 19:10:00-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Insufficient Info,Marpole,Web,2022-12-06 19:11:31-08:00,2022-12-07,2022,12,Dec,Tuesday,0.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Dunbar-Southlands,Web,2022-09-24 22:11:00-07:00,2022-09-29,2022,9,Sep,Saturday,4.0,True
Dbl - Property Use Inspections,Graffiti Removal - Private Property Case,Close,Assigned To Inspector,Renfrew-Collingwood,Web,2022-09-24 22:45:55-07:00,2022-09-27,2022,9,Sep,Saturday,2.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-09-24 22:55:56-07:00,2022-09-26,2022,9,Sep,Saturday,1.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Grandview-Woodland,Web,2022-09-24 23:27:54-07:00,2022-09-28,2022,9,Sep,Saturday,3.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Reviewed And No Action Planned,,Mobile App,2022-09-25 00:40:00-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Riley Park,Mobile App,2022-09-25 02:33:00-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Unknown,Killarney,Web,2022-09-25 07:13:24-07:00,2022-09-26,2022,9,Sep,Sunday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Strathcona,Mobile App,2022-09-25 07:37:33-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,West Point Grey,Mobile App,2022-09-25 07:48:20-07:00,2022-10-13,2022,9,Sep,Sunday,17.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Mount Pleasant,Web,2022-09-25 09:28:34-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Eng - Streets Operations,Street Repair Case,Close,Further Action Has Been Planned,Killarney,Mobile App,2022-09-25 09:55:30-07:00,2022-09-26,2022,9,Sep,Sunday,0.0,True
Eng - Streets Operations,Street Repair Case,Open,,Downtown,Mobile App,2022-09-25 09:57:14-07:00,,2022,9,Sep,Sunday,,False
Eng - Streets Operations,Street Construction Concern Case,Close,Reviewed And No Action Planned,Downtown,Social Media,2022-09-25 10:22:10-07:00,2022-09-27,2022,9,Sep,Sunday,1.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Service Provided,Downtown,Social Media,2022-09-25 10:57:00-07:00,2022-12-07,2022,9,Sep,Sunday,72.0,True
Eng - Streets Operations,Pothole Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-09-25 11:16:22-07:00,2022-09-28,2022,9,Sep,Sunday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-09-25 11:22:33-07:00,2022-09-27,2022,9,Sep,Sunday,1.0,True
Eng - Sanitation Services,Park Litter Can Case,Close,Service Provided,Downtown,Phone,2022-09-25 11:33:09-07:00,2022-10-04,2022,9,Sep,Sunday,8.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Insufficient Info,Hastings-Sunrise,Phone,2022-09-25 11:37:13-07:00,2022-09-26,2022,9,Sep,Sunday,0.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Kensington-Cedar Cottage,Mobile App,2022-09-25 11:37:50-07:00,2023-01-31,2022,9,Sep,Sunday,127.0,True
311 Contact Centre,Emergency Referral Tracking Report Case,Close,Closed Automatically And Sent To Service Group,Mount Pleasant,Phone,2022-09-25 11:38:55-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Strathcona,Web,2022-09-25 11:48:55-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Dbl - Property Use Inspections,Private Property Inquiry Case,Close,Assigned To Inspector,Hastings-Sunrise,Phone,2022-09-25 11:48:00-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
Eng - Sanitation Services,Feces Clean Up Case,Close,Closed Automatically And Sent To Service Group,Downtown,Mobile App,2022-09-25 12:00:56-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Arbutus Ridge,Phone,2022-09-25 12:01:09-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Fairview,Mobile App,2022-09-25 12:01:56-07:00,2022-09-26,2022,9,Sep,Sunday,0.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-25 12:21:50-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-09-25 12:34:53-07:00,2022-09-28,2022,9,Sep,Sunday,2.0,True
Eng - Film And Special Events Office,Special Events Office Request Case,Close,Unknown,West End,Web,2022-09-25 12:51:42-07:00,2022-10-20,2022,9,Sep,Sunday,24.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Arbutus Ridge,Phone,2022-09-25 12:55:50-07:00,2023-05-08,2022,9,Sep,Sunday,224.0,True
Eng - Streets Operations,Street Repair Case,Close,Further Action Has Been Planned,Riley Park,Phone,2022-09-25 12:58:48-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Kitsilano,Phone,2022-09-25 13:22:53-07:00,2022-09-25,2022,9,Sep,Sunday,-1.0,True
Dbl - Proactive Enforcement,Short-Term Rental Request Case,Close,Service Provided,West Point Grey,Phone,2022-09-25 13:23:48-07:00,2022-09-29,2022,9,Sep,Sunday,3.0,True
